product_slug;variant_name;sku;tone_code;tone_name;units;volume_ml;mass_g;sell_price;cost_price;physical_stock;available_on_demand
ani-k-pestanina-brown-paradise;Único;BRV-ANI-P001;;;;;;18000;18000;0;FALSE
ani-k-gel-fijador-de-cejas-freeze-babes;Único;BRV-ANI-P002;;;;;;18000;18000;0;FALSE
ani-k-polvo-suelto;01 Carlota;BRV-ANI-P003;1;Carlota;;;;32000;32000;0;FALSE
ani-k-polvo-suelto;02 Scarlett;BRV-ANI-P004;2;Scarlett;;;;32000;32000;0;FALSE
ani-k-polvo-suelto;03 Confetti;BRV-ANI-P005;3;Confetti;;;;32000;32000;0;FALSE
ani-k-polvo-suelto;04 Cinnamon;BRV-ANI-P006;4;Cinnamon;;;;32000;32000;0;FALSE
ani-k-corrector-de-ojeras;00 Snow;BRV-ANI-P007;0;Snow;;;;18000;18000;0;FALSE
ani-k-corrector-de-ojeras;01 Bone;BRV-ANI-P008;1;Bone;;;;18000;18000;0;FALSE
ani-k-corrector-de-ojeras;02 Radiant;BRV-ANI-P009;2;Radiant;;;;18000;18000;0;FALSE
ani-k-corrector-de-ojeras;03 Honey;BRV-ANI-P010;3;Honey;;;;18000;18000;0;FALSE
ani-k-corrector-de-ojeras;04 Ginger;BRV-ANI-P011;4;Ginger;;;;18000;18000;0;FALSE
ani-k-corrector-de-ojeras;05 Golden Brown;BRV-ANI-P012;5;Golden Brown;;;;18000;18000;0;FALSE
ani-k-beauty-blender;Único;BRV-ANI-P013;;;;;;6000;6000;0;FALSE
ani-k-borla-x2;Único;BRV-ANI-P014;;;;;;6000;6000;0;FALSE
atenea-lipstick-balm;Cinematic;BRV-ATE-P001;;Cinematic;;;;34000;34000;0;FALSE
atenea-lipstick-balm;Amaretto;BRV-ATE-P002;;Amaretto;;;;34000;34000;0;FALSE
atenea-lipstick-balm;Spotlight;BRV-ATE-P003;;Spotlight;;;;34000;34000;0;FALSE
atenea-lipstick-balm;Summer Wine;BRV-ATE-P004;;Summer Wine;;;;34000;34000;0;FALSE
atenea-lipstick-balm;Pink Parade;BRV-ATE-P005;;Pink Parade;;;;34000;34000;0;FALSE
atenea-lipstick-balm;Whisper;BRV-ATE-P006;;Whisper;;;;34000;34000;0;FALSE
atenea-bronzer-cremoso;Terranova;BRV-ATE-P007;;Terranova;;;;33000;33000;0;FALSE
atenea-bronzer-cremoso;Tosted Coconut;BRV-ATE-P008;;Tosted Coconut;;;;33000;33000;0;FALSE
atenea-rubor-cremoso;Pink Chai;BRV-ATE-P009;;Pink Chai;;;;34000;34000;0;FALSE
atenea-rubor-cremoso;Sugar Plum;BRV-ATE-P010;;Sugar Plum;;;;34000;34000;0;FALSE
atenea-rubor-cremoso;Cherry Pie;BRV-ATE-P011;;Cherry Pie;;;;34000;34000;0;FALSE
atenea-rubor-cremoso;Scarlet Fever;BRV-ATE-P012;;Scarlet Fever;;;;34000;34000;0;FALSE
atenea-rubor-sublime;Coral Glow;BRV-ATE-P013;;Coral Glow;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Aurora;BRV-ATE-P014;;Aurora;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Peachy Keen;BRV-ATE-P015;;Peachy Keen;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Dusk Petal;BRV-ATE-P016;;Dusk Petal;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Radiant Rose;BRV-ATE-P017;;Radiant Rose;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Rosy Coral;BRV-ATE-P018;;Rosy Coral;;;;22000;22000;0;FALSE
atenea-rubor-sublime;Smooth Pink;BRV-ATE-P019;;Smooth Pink;;;;22000;22000;0;FALSE
atenea-paleta-essential;Único;BRV-ATE-P020;;;;;;38000;38000;0;FALSE
atenea-paleta-rose-sublime;Único;BRV-ATE-P021;;;;;;43000;43000;0;FALSE
atenea-serum-tinted;Cream;BRV-ATE-P022;;Cream;;;;52000;52000;0;FALSE
atenea-serum-tinted;Vainilla;BRV-ATE-P023;;Vainilla;;;;52000;52000;0;FALSE
atenea-serum-tinted;Almond;BRV-ATE-P024;;Almond;;;;52000;52000;0;FALSE
atenea-serum-tinted;Olive;BRV-ATE-P025;;Olive;;;;52000;52000;0;FALSE
atenea-serum-tinted;Temple;BRV-ATE-P026;;Temple;;;;52000;52000;0;FALSE
atenea-serum-tinted;Sand;BRV-ATE-P027;;Sand;;;;52000;52000;0;FALSE
